module,file,group,importance,lines,parser_error,macro_rules_sites,function_sites_ast,exec_function_sites,exec_body_sites,exec_signature_sites,exec_body_post_sites,exec_body_requires_only_sites,exec_body_no_contract_sites,public_exec_body_sites,public_exec_body_post_sites,public_exec_body_requires_only_sites,public_exec_body_no_contract_sites,public_exec_body_no_post_sites,exec_contract_sites,exec_post_sites,trait_exec_contract_sites,public_exec_no_post_sites,assume_spec_sites,assume_spec_with_post_sites,assume_spec_without_post_sites,model_spec_fn_sites,proof_fn_sites,axiom_fn_sites,requires_clause_sites,ensures_clause_sites,returns_clause_sites,default_ensures_sites,external_trait_spec_sites,external_type_spec_sites,external_body_sites,view_impl_sites,deep_view_impl_sites,broadcast_group_sites,total_contract_sites,total_spec_sites
std_specs::cmp,std_specs/cmp.rs,Rust standard-library specs,critical,527,False,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,10,39,0,0,1,25,0,8,4,1,1,0,0,0,14,53
std_specs::control_flow,std_specs/control_flow.rs,Rust standard-library specs,medium,70,True,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,1,0,0,5,0,0,0,2,1,0,0,1,4,6
std_specs::convert,std_specs/convert.rs,Rust standard-library specs,high,182,False,2,16,4,0,4,0,0,0,0,0,0,0,0,4,4,4,0,5,3,2,16,0,0,0,7,0,0,4,1,1,0,0,0,7,23
std_specs::core,std_specs/core.rs,Rust standard-library specs,medium,234,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,0,0,2,6,0,0,20,6,3,0,0,0,5,9
std_specs::default,std_specs/default.rs,Rust standard-library specs,high,83,False,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,0,0,0,0,6,0,0,1,0,0,0,0,0,6,6
std_specs::hash,std_specs/hash.rs,Rust standard-library specs,critical,1547,True,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,64,42,2,4,86,4,0,2,11,14,1,0,1,45,153
std_specs::iter,std_specs/iter.rs,Rust standard-library specs,critical,374,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,3,5,0,1,4,1,1,0,0,1,0,31
std_specs::manually_drop,std_specs/manually_drop.rs,Rust standard-library specs,medium,65,True,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,1,0,3,2,0,0,1,1,1,0,1,4,8
std_specs::maybe_uninit,std_specs/maybe_uninit.rs,Rust standard-library specs,high,59,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,0,0,3,4,1,0,0,1,1,0,0,0,5,9
std_specs,std_specs/mod.rs,Rust standard-library specs,medium,41,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
